valid,case_id,song1_artist,song1_title,song1_evidence,song2_artist,song2_title,song2_evidence,is_melodic_comparison,pair_evidence,pair_evidence_source,comments
1,2,Michael Balfe,The Bohemian Girl,"['opera The Bohemian Girl, by Irish composer Michael Balfe']",Francis Brown,Alethia Waltz,"[""'Alethia Waltz' was derived from Balfes aria 'Twere Vain to Tell Thee all I Feel""]",TRUE,['complete dependence upon Balfes melody'],comments_and_opinions,
1,4,Fannie Beane,My Own Sweet Darling,"[""complaint based on copyright No. 13,875, entered on November 27, 1878, by the orator, assignee of Fannie Beane, of a musical composition entitled 'My Own Sweet Darling, Colleen Dhas Machree'""]",W.D. Hendrickson,Call Me Back Again,"[""a song with music entitled 'Call Me Back Again.'""]",TRUE,"[""The Court correctly observes that the music of defendants 'Call Me Back Again' maps closely that of plaintiffs 'My Own Sweet Darling, Colleen Dhas Machree.'""]",Court Document,
1,5,Harry Kennedy,"Cradles Empty, Babys Gone","[""Unauthorized roll of Kennedys 1880 sentimental song, 'Cradles Empty, Babys Gone.'""]",John McTammany,"Cradles Empty, Babys Gone","[""Unauthorized roll of Kennedys 1880 sentimental song, 'Cradles Empty, Babys Gone.'""]",FALSE,[],,midi on site
1,6,Bert A. Williams,Dora Dean,"[""'Dora Dean, alleged to have been composed by Bert A. Williams""]",Charles Sidney O'Brien,Ma Angeline,"[""'Ma Angeline, alleged to have been composed by Charles Sidney OBrien""]",TRUE,['It is conceded that the melody of the two songs is substantially the same.'],Comments_and_opinions,
1,8,Adam Geibel,Kentucky Babe,['The images of the sheet music for Kentucky Babe were taken from the UCLA Archive of Popular American Music.'],Adam Geibel,Little Cotton Dolly,['Those for Little Cotton Dolly were obtained from the Hackley Collection at the Detroit Public Library.'],FALSE,['Label issue'],Comments and opinions,
1,10,Charles Marshall,I Hear You Calling Me,"['Plaintiffs claim that a musical composition entitled I Hear You Calling Me is infringed by defendant,']",Jeff Godfrey,"Tennessee, I Hear You Calling Me","['defendant, which is selling another musical composition, entitled Tennessee, I Hear You Calling Me.']",TRUE,"['a brief but evocative melodic figure sung to the words I hear you calling me.', 'music accompanying those words, are practically identical in both compositions']",comments_and_opinions,
1,11,William Cahalin,You Will Never Know How Much I Really Cared,"['no number of Pinafore, chorus or otherwise, resembles Haass You Will Never Know How Much I Really Cared,']",Al Piantadosi,I Didn't Raise My Boy to be a Soldier,['Hand alludes to the fact that I Didnt Raise My Boy to be a Soldier enjoyed widespread popularity'],TRUE,['parallelism which seemed to [his] ear to pass the bounds of mere accident'],comments_and_opinions,
1,14,Silvio Hein,Maria Cahill's Arab Love Song,['the melodies concluded that the defendant must have copied the plaintiffs work'],Joseph Howard,I Think I Hear a Woodpecker,"['the chorus certainly is an infringement, and the complainant under his copyright is entitled to protection.']",TRUE,"[""'The melodies concluded that the defendant must have copied the plaintiffs work'"", ""13 of 17 measures of the two melodies were 'substantially the same'""]",comments_and_opinions,
1,15,Paul Linke,Wedding Dance Waltzes,['The appellants composition comprises 450 bars of music'],H. Pitman Clarke,Swanee River Moon,"[""Appellee puts out a song entitled 'Swanee River Moon'""]",TRUE,"[""I can well understand that, if any one plays the notes, not as they are written, but gives these notes equal values, suppressing the real effect that should be given to the base accompaniments, he will produce a result of similarity.'""]",comments_and_opinions,
1,16,Felix Bernard & Johnny Black,Dardanella,"['Plaintiff Fred Fisher, owner of the copyright to Dardanella  a song popular in the early 1920s']",Jerome Kern,Ka-lu-a,['claimed Jerome Kern misappropriated the accompaniment pattern of Dardanella and used it in his song Ka-lu-a.'],TRUE,"['Plaintiff therefore concedes that it must show that Kern, the composer, used Dardanella as the source of his accompaniment.']",Comments and opinions,
