case_id,year,case_name,case_artist,case_title,case_role
0,1844,Millett v. Snowden,W.J. Wetmore,The Cot Beneath the Hill,complainer
1,1845,Reed v. Carusi,Henry Russell,The Old Arm Chair,complainer
2,1846,Ferrett v. Atwill,"Michael Balfe, arranged by Francis Brown","""Alethia Waltz"", based on a theme from Michael Balfe's ""The Bohemia Girl""",complainer
3,1850,Jollie v. Jacques,Anonymous,Serious Family Polka,complainer
4,1887,Blume v. Spear,Fannie Beane,My Own Sweet Darling,complainer
5,1888,Kennedy v. McTammanay,Harry Kennedy,Cradle’s Empty Baby’s Gone,complainer
6,1898,Broder v. Zeno Mauvais Music Co.,Bert A. Williams,Dora Dean,complainer
7,1899,Boosey v. Whight,"Alice M. Davis (""Hope Temple"") and Frederick Wetherley","""My Lady's Bower""",complainer
8,1907,White-Smith Music v. Apollo Company,Adam Geibel,Kentucky Babe,complainer
9,1914,Cooper v. James,W.M.Cooper,Never Turn Back,complainer
10,1915,Boosey v. Empire Music,Charles Marshall,I Hear You Calling Me,complainer
11,1916,Haas v. Leo Feist,William Cahalin,You Will Never Know ...,complainer
12,1917,Hart v. Graham,"Alcide Nunez, Ray Lopez",Livery Stable Blues,complainer
13,1923,Austin v. Columbia Gramophone Co.,John Gay,"Themes from opera ""Polly""",complainer
14,1923,Hein v. Harris,Silvio Hein,Maria Cahill's Arab Love Song,complainer
15,1923,"Marks v. Leo Feist, Inc.",Paul Linke,Wedding Dance Waltzes,complainer
16,1924,"Fred Fisher, Inc. v. Dillingham",Felix Bernard & Johnny Black,Dardanella,complainer
17,1928,Italian Book Company v. Rossi,Paolo Citorello,Luna Mezzo Mare,complainer
18,1932,Gotham Music v. Denton Music Publishing,Anonymous,St. James' Infirmary,complainer
19,1933,Arnstein v. Shilkret,Ira Arnstein,Light My Life With Love,complainer
20,1934,Park v. Warner Brothers,Charles Francis Park,What are Your Intentions?,complainer
21,1935,Wilkie v. Santly Brothers,W.A. (Bud) Wilkie,Confessing,complainer
22,1936,Arnstein v. Edward Marks,Ira Arnstein,I Love You Madly,complainer
23,1936,Norden v. Oliver Ditson,N. Lindsay Norden (arranger),O Gladsome Light,complainer
24,1937,Hirsch v. Paramount Pictures,Hortense Hirsch,Lady of Love,complainer
25,1939,Arnstein v. ASCAP,Ira Arnstein,Whisper to Me,complainer
26,1940,Darrell v. Joe Morris Music,Jack Darrell,Does Anybody Want a Little Kewpie,complainer
27,1940,Davilla v. Harms,Joseph Davila,If I were a Spider...,complainer
28,1941,Allen v. Walt Disney,Wadsworth Doster,Old Eli,complainer
29,1941,Marks v. Stasny,Silvano D. Ramos,Allà en el Rancho Grande,complainer
30,1942,Carew v. R.K.O. Radio Pictures,Evelyn Carew,Chatterbox,complainer
31,1942,McMahon v. Harms,Joseph McMahon,In Sunny Kansas,complainer
32,1943,Arnstein v. Broadcast Music,Ira Arnstein,Whisper to Me,complainer
33,1943,Arnstein v. Twentieth Century Fox,Ira Arnstein,Kalamazoo,complainer
34,1944,"Gingg v. Twentieth Century Fox Film Corp, et al.",Allamae Britton Gingg,There'll Never Be Another You,complainer
35,1944,Edward B. Marks Music Corp. v. Jerry Vogel Music Co.,Edward B. Marks,December and May,complainer
36,1945,Brodsky v. Universal Pictures Company,Samuel Brodsky,Prelude in A Major,complainer
37,1945,Jewel Music v. Leo Feist,Louis Ricca,Carnival in Cotton Town,complainer
38,1946,Arnstein v. Porter,Ira Arnstein,Modern Messiah,complainer
39,1946,Heim v. Universal Pictures,Hajdu Imre (Heim),Ma Este Meg Boldog Vagyok,complainer
40,1948,Baron v. Leo Feist,Lionel Belasco and Massie Patterson,L'Annee Passee,complainer
41,1948,Kahn v. Leo Feist,Mohammed H. Kahn,Victory Calypsoes,complainer
42,1950,"Shapiro, Bernstein v. Miracle Record",Meade Lewis,Yancey Special,complainer
43,1951,Jones v. Supreme Music,Thelma Jones,Just an Old Fashioned Mother and Dad,complainer
44,1952,Northern Music v. King Record Distribution,Guy B. Wood and Sol Marcus,Tonight He Sailed Again,complainer
45,1953,Overman v. Loesser,Robert Overman,Wonderful You,complainer
46,1954,Robbins v. Alamo,Walter Schumann,"Theme for TV show ""Dragnet""",complainer
47,1954,Mills Music v. Cromwell Music,Issachar Miron & Julius Grossman,"Tzena, Tzena",complainer
48,1956,Robertson v. Batten,Donald Irwin Robertson,The Happy Whistler,complainer
49,1956,Smith v. Muehlebach Brewing,Leonard Smith,Proposed Advertising Jingle for Muehlebach Beer,complainer
50,1956,Wihtol v. Wells,I.B. Sergei (Wihtol),My God and I,complainer
51,1958,Cholvin v. B & F Music,Homer Cholvin and Norman Stade,When the Sun Bids the Sky Goodnight,complainer
52,1959,Dorchester Music v. National Broadcasting Company,Fred Spielman,Rendezvous,complainer
53,1960,Walters v. Shari Music Publishing,Lionel Walters,Iron Bar,complainer
54,1963,Francis Day & Hunter v. Bron,Mabel Wayne,In a Little Spanish Town,complainer
55,1964,Irving Berlin et al. v. E.C. Publications,Irving Berlin,A Pretty Girl is Like a Melody,complainer
56,1964,"Nom Music, Inc. V. Kaslin",James Sheppard and William Miller,A Thousand Miles Away,complainer
57,1965,Life Music v. Broadcast Music,Patricia Smith and Don Fenton,SUPERCALAFAJALISTICK ESPEEALADOJUS,complainer
58,1965,Nordstrom v. R.C.A.,Frank Nordstrom,Mizpah or Shalom,complainer
59,1967,Packson v. Jobete,"Lorenzo Pack, Harper Evans",I'm Afraid,complainer
60,1967,In re Geman Collecting Society GEMA,GEMA / Franz Josef Breuer,Schwarzbraun ist die Haselnuss,complainer
61,1969,Leo Feist v. Apollo Records,Gus Kahn et al.,"Toot, Toot, Tootsie",complainer
62,1970,Bote & Bock Musik v. Melodie der Welt GmbH & Co KG,Wilhelm Kienzl,O schöne Jugendtage,complainer
63,1973,Strachborneo v. Arc Music,Ruth Stratchborneo,MOJO Workout,complainer
64,1975,Mood Music v. De Wolfe,Armando Sciascia,Sogno Nostalgico,complainer
65,1976,Bright Tunes Music v. Harrisongs Music,Ronald Mack,He's So Fine,complainer
66,1976,Granite Music v. United Artists,Leon Pober,Tiny Bubbles,complainer
67,1976,MCA Music v. Earl Wilson,Don Raye and Hughie Prince,Boogie Woogie Bugle Boy,complainer
68,1978,Ferguson v. National Broadcasting Company,Wilma Ferguson,Jeannie Michele,complainer
69,1978,Herald Square Music v. Living Music,Stephen Schwartz,Day by Day,complainer
70,1978,Plymouth Music Co. v. Magnus Organ Corp.,Anonymous,Holiday Polka,complainer
71,1978,Harry v. Suzuki,Harry Warren,The Boulevard of Broken Dreams,complainer
72,1980,Elsmere Music v. N.B.C.,Steve Karman,I Love New York (advertising jingle),complainer
73,1980,Hanseatic Musikverlag v. Bellver Musikverlag,Pantelis Ghinnis,Dirlada,complainer
74,1980,Testa v. Janssen,Philip J. Lipari,Kept on Singing,complainer
75,1982,Gondos v. Hardy,Ivan Gondos,Variations,complainer
76,1984,Selle v. Gibb,Ronald Selle,Let It End,complainer
77,1984,Pendleton v. Acuff-Rose,Howard Leslie Pendleton,Just a Blue Box,complainer
78,1985,"Cream Records, Inc. v. Jos. Schlitz Brewing Co.",Isaac Hayes,The Theme From Shaft,complainer
79,1985,Lawson v. Dundas,David Lawson,Channel 4 Jingle,complainer
80,1985,Dixon v. Atlantic Recording Corp.,William Dixon,I Need Love,complainer
81,1986,Anheuser Busch v. Elsmere Music,Steve Karmen,Budweiser Beer Commercial (1970s),complainer
82,1986,Benson v. Coca-Cola,John Benson,Don't Cha Know,complainer
83,1986,Fisher v. Dees,Marvin Fisher and Jack Segal,When Sunny Gets Blue,complainer
84,1987,Baxter v. MCA,Leslie Baxter,Joy,complainer
85,1987,Siskind v. Newton-John,Laura Siskind,Take a Chance on Love,complainer
86,1987,Verge v. Imperial Oil Ltd.,Cyril Verge,It's a Brand New World,complainer
87,1987,Warner Bros. v. Dundas,Tom Waits,Martha,complainer
88,1987,Williamson v. Pearson Partnership,Rogers & Hammerstein,"""There is Nothing Like a Dame""",complainer
89,1988,Gaste v. Morris Kaiserman,Louis Gaste,Pour Toi,complainer
90,1988,Magazine-Music Verlag v. Ralph Siegel,Julio Iglesias,Alle Liebe dieser Erde; Un canto a galicia,complainer
91,1988,Edition Magazine Music v. Sony ATV,Katy Kassay,…wie ein Kind,complainer
92,1989,CBS Records Australia v. Guy Cross,Collette Roberts,Ring My Bell (CBS Version),complainer
93,1990,Queen & David Bowie v. Vanilla Ice,Queen & David Bowie,Under Pressure,complainer
94,1990,Dawson v. Hinshaw Music,William Dawson (Arr.),Ezekiel Saw De Wheel,complainer
95,1990,Levine v. McDonald's Corp.,Paul DiFranco and Norman Dolph,Life is a Rock (But the Radio Rolled Me,complainer
96,1990,Black v. Gosdin,Damon Black,The Jukebox,complainer
97,1991,Grignon v. Roussel,Rene Grignon,Chanson Numero 7,complainer
98,1991,Grand Upright v. Warner,"Raymond ""Gilbert"" O'Sullivan",Alone Again (Naturally),complainer
99,1991,Intersong-USA v. CBS,Enrique Chia,Es,complainer
100,1991,McDonald v. Multimedia Entertainment,Gerard McDonald,"Proposed Theme Music for ""Sally Jesse Raphael Show""",complainer
101,1991,Enigma v. Phlegma 1991,Enigma,Sadeness I,complainer
102,1991,EMI U Catalog Inc. v. Far Musikverlag,Tony McKay aka Exuma,There´s a Brown Girl in the Ring,complainer
103,1991,Herbolzheimer v. Farian,Malcolm’s Lock,Brown Girl,complainer
104,1992,Chiate v. Morris,Lloyd Chiate,Hello It's Me / I Just Called to Say,complainer
105,1992,Moore v. Columbia Pictures,Derrick D. Moore,She Can't Stand It,complainer
106,1993,EMI Music v. Papathanasiou,Stavros Logarides,City of Violets,complainer
107,1993,Jarvis v. A & M Records,Boyd Jarvis,The Music's Got Me,complainer
108,1993,Tempo Music v. Famous Music,"Duke Ellington, Billy Strayhorn, Johnny Mercer",Satin Doll,complainer
109,1993,Sylvestre v. Oswald,Michael Sylvestre and Dougals Richwine,Heaven,complainer
110,1993,Les Inconnus v. Parker,Les Inconnus,Auteuil Neuilly Passy,complainer
111,1994,Drynan v. Rostad,James Drynan,Filion Family Welcome,complainer
112,1994,Campbell v. Acuff-Rose,Williams Dees and Roy Orbison,"Oh, Pretty Woman",complainer
113,1994,Fantasy v. Fogerty,John Fogerty,Run Through the Jungle,complainer
114,1994,Tin Pan Apple v. Miller Brewing,Morales and Robertson [Fat Boys],Stick 'em,complainer
115,1995,Crystal Cartier v. Michael Jackson,Crystal Cartier,Dangerous,complainer
116,1995,La Cienega Music Co. v. ZZ Top,John Hooker and Bernard Besman,Boogie Chillen,complainer
117,1995,Woods v. Bourne,Harry Woods,"When the Red, Red, Robin Comes Bob, Bob, Bobbin' Along",complainer
118,1996,Palmieri v. Estefan,Eddie Palmieri,Paginas De Mujer,complainer
119,1996,Santrayll v. Burrell,Rene Santrayll & Michael Walker,Uh Oh,complainer
120,1996,Smith v. Michael Jackson,Robert Smith and Reynard Jones,Don't Let the Sunshine / Happy Go Lucky Girl,complainer
121,1997,Damiano v. Sony,James Damiano,Miscellaneous lyrics and instrumental arrangement,complainer
122,1997,McRae v. Smith,Maree McRae,"Every Minute, Every Hour, Every Day",complainer
123,1997,Repp v. Webber,Ray Repp,Till You,complainer
124,1997,Tuff 'N' Rumble v. Profile Records,Robert Plant et al.,Impeach the President,complainer
125,1999,BTE v. Bonnecaze,"Kevin Griffin, et al.",Coyote,complainer
126,1999,Ellis v. Diffie,Everett Ellis,Lay Me Out By the Jukebox When I Die,complainer
127,1999,Selletti v. Carey,Christopher Selletti,Hero,complainer
128,1999,Suzane McKinley v. Collin Raye,Suzane McKinley,I Think About You,complainer
129,1999,ZZ Top v. Chrysler Corp.,"Billy Gibbons, et al.",La Grange,complainer
130,1999,Anzilotti v. Hildenbeutel,Snap!,Green Grass Grows (Earth follows),complainer
131,2000,Armstrong v. Virgin Records,"John McLaughlin, et al.",Planetary Citizen,complainer
132,2000,Three Boys Music v. Michael Bolton,Isley Brothers,Love is a Wonderful Thing,complainer
133,2000,Tisi v. Patrick,Michael Tisi,Sell Your Soul,complainer
134,2000,Bouffard v. Ministère Public,,Various pop songs in SACEM catalog,complainer
135,2000,"Cooper v. Ogilvy & Mather, et al.",Matthew Cooper,The Lower we Fly,complainer
136,2001,Oliviera v. Frito-Lay,Astrud Gilberto,Girl from Ipenama,complainer
137,2001,Albano Carrisi v. Michael Jackson,Albano Carrisi,I cigni di Balaka,complainer
138,2001,Marlon Williams v. Calvin Broadus,Marlon Williams,The Symphony,complainer
139,2001,Johnson v. Berry,Chuck Berry and Johnnie Johnson,Wee Wee Hours,complainer
140,2001,Toliver v. Sony Music,Paula Toliver,Independent Lady,complainer
141,2002,Creagh v. Hit and Run Music,Marianne Creagh,Where are You Now,complainer
142,2002,Jean et al. v. Bug Music,"Leo Nocentelli, et al.",Hand Clapping Song,complainer
143,2002,Malmstedt v. EMI Records,Stephan Malmstedt,Jenny and I,complainer
144,2002,Weh v. Universal Music Publishing,WEH,Heartbeat,complainer
